team_1,team_2,team_1_win,simulated_team_1_win,draw,simulated_draw,team_2_win,simulated_team_2_win
🇧🇦 Bosnia & Herzegovina,🇨🇦 Canada,0.2010613930538862,0.213381,0.276562782210846,0.258949,0.5223758247352677,0.52767
🇵🇾 Paraguay,🇺🇸 USA,0.2452817254825766,0.257149,0.2983392628720817,0.280029,0.4563790116453415,0.462822
🇶🇦 Qatar,🇨🇭 Switzerland,0.0683666588885314,0.06992,0.1519046976841458,0.15051,0.7797286434273227,0.77957
🇧🇷 Brazil,🇲🇦 Morocco,0.5797785799383998,0.583445,0.2496410333660879,0.237186,0.1705803866955123,0.179369
🇭🇹 Haiti,🏴󠁧󠁢󠁳󠁣󠁴󠁿 Scotland,0.1618294717222339,0.168099,0.2284486620483204,0.220772,0.6097218662294457,0.611129
🇦🇺 Australia,🇹🇷 Türkiye,0.1885868395365837,0.200044,0.2570919484303068,0.239875,0.5543212120331094,0.560081
🇨🇼 Curaçao,🇩🇪 Germany,0.0260234023702076,0.022911,0.0573469507616875,0.060649,0.9166296468681048,0.91644
🇯🇵 Japan,🇳🇱 Netherlands,0.2542275236261192,0.265652,0.2700937060122759,0.251512,0.4756787703616049,0.482836
🇪🇨 Ecuador,🇨🇮 Ivory Coast,0.3942654679963697,0.413174,0.3369734824833443,0.294431,0.2687610495202859,0.292395
🇸🇪 Sweden,🇹🇳 Tunisia,0.5047779665072971,0.509638,0.2768341288982216,0.263391,0.2183879045944812,0.226971
🇨🇻 Cape Verde,🇪🇸 Spain,0.0379083874370283,0.034733,0.0877079257353006,0.090212,0.874383686827671,0.875055
🇧🇪 Belgium,🇪🇬 Egypt,0.5865115936588298,0.589543,0.2441787848771335,0.231251,0.1693096214640367,0.179206
🇸🇦 Saudi Arabia,🇺🇾 Uruguay,0.1212143403088478,0.126876,0.2151935663833091,0.207531,0.6635920933078431,0.665593
🇮🇷 Iran,🇳🇿 New Zealand,0.521264936258388,0.524995,0.2742858150413162,0.263234,0.2044492487002957,0.211771
🇫🇷 France,🇸🇳 Senegal,0.6486354502521712,0.649222,0.2193038987512435,0.211583,0.1320606509965853,0.139195
🇮🇶 Iraq,🇳🇴 Norway,0.0678253036460614,0.066158,0.1387903037317838,0.140699,0.7933843926221547,0.793143
🇩🇿 Algeria,🇦🇷 Argentina,0.1092558066996375,0.116719,0.209734381372731,0.201412,0.6810098119276314,0.681869
🇦🇹 Austria,🇯🇴 Jordan,0.7197786533863662,0.719844,0.1760399469604388,0.172612,0.1041813996531949,0.107544
🇨🇩 DR Congo,🇵🇹 Portugal,0.0876788292036197,0.091429,0.172165523649874,0.168219,0.7401556471465062,0.740352
🇭🇷 Croatia,🏴󠁧󠁢󠁥󠁮󠁧󠁿 England,0.1946987903716679,0.199941,0.255861488087305,0.247578,0.5494397215410269,0.552481
🇬🇭 Ghana,🇵🇦 Panama,0.4454394775762337,0.449092,0.2823118352481234,0.272265,0.2722486871756429,0.278643
🇨🇴 Colombia,🇺🇿 Uzbekistan,0.6846412436893448,0.684988,0.2043777893178318,0.201414,0.1109809669928233,0.113598
🇨🇿 Czechia,🇿🇦 South Africa,0.5494131113305031,0.551842,0.253745204517211,0.247573,0.1968416841522858,0.200585
🇧🇦 Bosnia & Herzegovina,🇨🇭 Switzerland,0.165105043983439,0.171434,0.2408352458621162,0.231381,0.5940597101544447,0.597185
🇨🇦 Canada,🇶🇦 Qatar,0.7286567369663965,0.728889,0.1833458529537598,0.181732,0.0879974100798436,0.089379
🇲🇽 Mexico,🇰🇷 South Korea,0.4778371130161227,0.483869,0.2871659824092831,0.271658,0.234996904574594,0.244473
🇦🇺 Australia,🇺🇸 USA,0.2061000120698647,0.208662,0.2525368787278761,0.247742,0.5413631092022592,0.543596
🇲🇦 Morocco,🏴󠁧󠁢󠁳󠁣󠁴󠁿 Scotland,0.4843309246023435,0.4914,0.2882177305810561,0.267668,0.2274513448166003,0.240932
🇧🇷 Brazil,🇭🇹 Haiti,0.886855485060804,0.88686,0.0774060791445213,0.080946,0.0357384357946746,0.032194
🇵🇾 Paraguay,🇹🇷 Türkiye,0.2802344396039145,0.291861,0.2979649045439834,0.276761,0.4218006558521021,0.431378
🇳🇱 Netherlands,🇸🇪 Sweden,0.5755501063006773,0.576149,0.2406125286643963,0.233707,0.1838373650349265,0.190144
🇩🇪 Germany,🇨🇮 Ivory Coast,0.6118947643649232,0.61249,0.2230238263015501,0.217752,0.1650814093335267,0.169758
🇨🇼 Curaçao,🇪🇨 Ecuador,0.0685687974523313,0.066232,0.1442587039541842,0.14665,0.7871724985934845,0.787118
🇯🇵 Japan,🇹🇳 Tunisia,0.551595306064038,0.556977,0.266313367027193,0.249919,0.1820913269087689,0.193104
🇸🇦 Saudi Arabia,🇪🇸 Spain,0.0463439811611213,0.040741,0.1033851437944217,0.108546,0.850270875044457,0.850713
🇧🇪 Belgium,🇮🇷 Iran,0.6702080480531472,0.671241,0.2073704634108086,0.202884,0.1224214885360441,0.125875
🇨🇻 Cape Verde,🇺🇾 Uruguay,0.1290080620906758,0.133227,0.2143609990941325,0.209449,0.6566309388151916,0.657324
🇪🇬 Egypt,🇳🇿 New Zealand,0.542794906199584,0.545999,0.262000461379118,0.253135,0.195204632421298,0.200866
🇦🇷 Argentina,🇦🇹 Austria,0.5785073334179036,0.582886,0.2469799519340728,0.232015,0.1745127146480235,0.185099
🇫🇷 France,🇮🇶 Iraq,0.8481014485892954,0.847283,0.1101069800877468,0.110345,0.0417915713229576,0.042372
🇳🇴 Norway,🇸🇳 Senegal,0.4419422211083397,0.448323,0.2758419890640575,0.258597,0.2822157898276027,0.29308
🇩🇿 Algeria,🇯🇴 Jordan,0.6187269357061659,0.620853,0.2294710868596053,0.220474,0.1518019774342288,0.158673
🇵🇹 Portugal,🇺🇿 Uzbekistan,0.7547834217651918,0.754914,0.1597992272535033,0.155539,0.0854173509813049,0.089547
🏴󠁧󠁢󠁥󠁮󠁧󠁿 England,🇬🇭 Ghana,0.7139238033826395,0.714217,0.1846540456843134,0.178807,0.101422150933047,0.106976
🇭🇷 Croatia,🇵🇦 Panama,0.6094342413912819,0.614422,0.2428457782648145,0.225745,0.1477199803439035,0.159833
🇨🇴 Colombia,🇨🇩 DR Congo,0.6342503974947538,0.635927,0.2322105994989508,0.22486,0.1335390030062954,0.139213
🇧🇦 Bosnia & Herzegovina,🇶🇦 Qatar,0.5699072341652784,0.570403,0.2429614584116932,0.242347,0.1871313074230284,0.18725
🇨🇦 Canada,🇨🇭 Switzerland,0.2670740186678132,0.28072,0.2882346182011014,0.265899,0.4446913631310853,0.453381
🇭🇹 Haiti,🇲🇦 Morocco,0.1007170832426094,0.105798,0.1866920462618138,0.181588,0.7125908704955767,0.712614
🇧🇷 Brazil,🏴󠁧󠁢󠁳󠁣󠁴󠁿 Scotland,0.651357553302229,0.653153,0.2137826796008141,0.207192,0.1348597670969569,0.139655
🇨🇿 Czechia,🇲🇽 Mexico,0.2088723283852084,0.222808,0.272799987374847,0.252521,0.5183276842399445,0.524671
🇿🇦 South Africa,🇰🇷 South Korea,0.1687759632954428,0.17814,0.2454551627028471,0.232637,0.5857688740017101,0.589223
🇪🇨 Ecuador,🇩🇪 Germany,0.1977418371442685,0.209157,0.2528795441778425,0.236956,0.5493786186778888,0.553887
🇨🇼 Curaçao,🇨🇮 Ivory Coast,0.0707579418707858,0.074317,0.1584710524321283,0.155413,0.7707710056970858,0.77027
🇯🇵 Japan,🇸🇪 Sweden,0.4525743727405373,0.459188,0.2804817561295056,0.265589,0.266943871129957,0.275223
🇳🇱 Netherlands,🇹🇳 Tunisia,0.627716886306177,0.629759,0.2254662286887159,0.216082,0.1468168850051071,0.154159
🇹🇷 Türkiye,🇺🇸 USA,0.3544776622616278,0.362276,0.2744386557805304,0.258191,0.3710836819578417,0.379533
🇦🇺 Australia,🇵🇾 Paraguay,0.2735471622756612,0.283998,0.2926594016561581,0.274684,0.4337934360681806,0.441318
🇫🇷 France,🇳🇴 Norway,0.5159851604341736,0.521781,0.2642153637317321,0.247211,0.2197994758340943,0.231008
🇮🇶 Iraq,🇸🇳 Senegal,0.122050755688003,0.129455,0.2152340938856447,0.206426,0.6627151504263523,0.664119
🇨🇻 Cape Verde,🇸🇦 Saudi Arabia,0.3727757464546587,0.379574,0.2891001856919496,0.273861,0.3381240678533916,0.346565
🇪🇸 Spain,🇺🇾 Uruguay,0.572790262744392,0.576521,0.2470046047176254,0.232237,0.1802051325379824,0.191242
🇧🇪 Belgium,🇳🇿 New Zealand,0.7324712838252821,0.73217,0.1716423673603731,0.17114,0.0958863488143447,0.09669
🇪🇬 Egypt,🇮🇷 Iran,0.4214346940668959,0.428938,0.3084886957241893,0.291153,0.2700766102089147,0.279909
🏴󠁧󠁢󠁥󠁮󠁧󠁿 England,🇵🇦 Panama,0.7390131610374886,0.739214,0.1671805995686725,0.16429,0.0938062393938389,0.096496
🇭🇷 Croatia,🇬🇭 Ghana,0.5718357469869756,0.574921,0.2537209774408495,0.241267,0.1744432755721749,0.183812
🇨🇩 DR Congo,🇺🇿 Uzbekistan,0.4037251825631475,0.411402,0.2943362719234618,0.277693,0.3019385455133906,0.310905
🇨🇴 Colombia,🇵🇹 Portugal,0.2710388486318764,0.283144,0.2856132885015264,0.265644,0.4433478628665971,0.451212
🇩🇿 Algeria,🇦🇹 Austria,0.2724308619225673,0.285296,0.293331087315378,0.26984,0.4342380507620546,0.444864
🇦🇷 Argentina,🇯🇴 Jordan,0.793013195336624,0.792628,0.1406621376789921,0.139591,0.0663246669843838,0.067781
