team,worst_probability,expected_points,expected_goals_for,expected_goals_against,expected_goal_difference
Curaçao,0.25705978095238574,0.8423273,1.6287518,8.4751689,-6.8464171
Iraq,0.14179982428570587,1.1442407,1.7562156,7.2813564,-5.5251408
Haiti,0.12287406928571575,1.3971277,2.2112963,7.5228428,-5.3115465
Jordan,0.08273091000000604,1.526801,2.165184,6.6766746,-4.5114906
Qatar,0.07239852666667031,1.5517406,1.9803411,6.3274608,-4.3471197
Cape Verde,0.0428734549999979,2.2021063,2.4813124,6.2158472,-3.7345347999999996
Saudi Arabia,0.042294189285712255,2.1254261,2.3516468,5.9894268,-3.6377800000000002
South Africa,0.035151309285713306,1.6278356,1.7290401,5.3792071,-3.6501670000000006
Uzbekistan,0.03341007833333293,2.1803723,2.425115,5.6508428,-3.2257278000000005
Panama,0.02819380761904836,2.2854231,2.5064111,5.4567225,-2.9503114
New Zealand,0.02788877833333419,2.2226216,2.3746916,5.3233185,-2.9486269000000003
Tunisia,0.01950552928571481,2.4543001,2.5313107,4.9753698,-2.4440591
DR Congo,0.018968885000000407,2.5866264,2.6174715,5.1332478,-2.5157763
Australia,0.015784770000000017,2.6678642,2.742814,4.8856247,-2.1428107
Paraguay,0.013122068333332884,2.6545709,3.3189754,6.4241921,-3.1052167
Ghana,0.013013876666666306,2.8858435,2.8908754,4.9133476,-2.0224721999999997
Scotland,0.005058961666666706,3.677521,3.7450577,4.3979374,-0.6528797000000002
Iran,0.004485190000000022,3.5336853,3.1226173,4.0563272,-0.9337099000000002
Sweden,0.00403604666666667,3.6818147,3.4208958,4.0887073,-0.6678115000000004
Algeria,0.0038420199999999968,3.7684645,3.5857713,4.1770033,-0.5912319999999998
Senegal,0.0031695299999999773,3.9682736,3.8610699,4.1337324,-0.2726625000000005
Czechia,0.0026656966666666476,2.7819919,3.5218341,4.4719539,-0.9501198
Egypt,0.0017129466666666725,4.2316449,3.6552031,3.551228,0.10397509999999999
Ivory Coast,0.0015015750000000059,4.35492,4.1579748,3.6474516,0.5105231999999997
Japan,0.0010638366666666675,4.6155163,4.1153687,3.4208136,0.6945551000000005
Austria,0.000943633333333333,4.7219821,4.5452013,3.5701603,0.9750410000000005
Morocco,0.0007328499999999992,4.8642492,4.4523586,3.2982109,1.1541477000000002
Türkiye,0.0007258166666666647,4.9487522,4.4529594,3.2615988,1.1913606000000003
Croatia,0.000683616666666665,4.8745306,4.3444021,3.2586771,1.085725
Ecuador,0.0006333116666666656,4.9107592,4.5027679,3.1785934,1.3241745000000003
Norway,0.0005077083333333333,5.0753341,4.9912779,3.3428025,1.6484754000000001
Uruguay,0.00044487500000000007,5.2002374,4.7806266,3.1979509,1.5826756999999998
Colombia,0.00022550000000000003,5.5049,4.8165453,2.7638798,2.0526654999999994
Netherlands,0.0001982449999999999,5.7672914,5.2243695,2.807054,2.4173155
Switzerland,7.065000000000001e-05,6.1700784,5.6830962,2.4585549,3.2245412999999994
Portugal,4.8858333333333326e-05,6.4335873,6.0958042,2.4069656,3.6888386
Belgium,3.924166666666666e-05,6.6012291,6.0202681,2.2419064,3.7783617
England,3.6561666666666666e-05,6.6220287,6.1618154,2.2747568,3.8870586
Argentina,2.786666666666667e-05,6.7481214,6.2966498,2.1689682,4.1276816
France,2.7375000000000005e-05,6.6470251,6.3724989,2.223171,4.1493279
Germany,1.8383333333333334e-05,6.7770997,7.3766561,2.3649367,5.0117194000000005
Brazil,1.5066666666666666e-05,6.879673,6.9585095,2.148231,4.8102785
Bosnia & Herzegovina,8.858333333333333e-06,3.7504574,3.5173637,3.552715,-0.03535129999999986
Spain,3.4666666666666664e-06,7.3568212,7.6534062,1.8637671,5.7896391000000005
Canada,2.4533333333333337e-06,4.4716673,4.1791245,3.0211948,1.1579297000000004
South Korea,0.0,6.0246196,4.7004354,3.256269,1.4441663999999999
Mexico,0.0,6.5631015,4.9991828,1.8430624,3.1561204
USA,0.0,6.465364,7.2233558,3.166689,4.0566668
