team,win_prob,best_decimal_odds,worst_decimal_odds,bookmaker_count
France,0.15600899622570688,5.5,5.5,2
Spain,0.1410963715864849,6.8,5.5,2
England,0.10792237238905653,9.2,7.0,2
Portugal,0.09926902219946905,9.4,8.0,2
Argentina,0.07865453559712722,12.0,10.0,2
Brazil,0.06964687331504771,14.0,11.0,2
Germany,0.05900340241869683,16.5,13.0,2
Netherlands,0.04403148643475543,20.0,19.0,2
Norway,0.025519575029161964,40.0,29.0,2
Morocco,0.022833249447599954,42.0,34.0,2
USA,0.019402033448293575,48.0,41.0,2
Belgium,0.019044512831942997,50.0,41.0,2
Japan,0.017614430366540687,60.0,41.0,2
Colombia,0.015826827284787796,80.0,41.0,2
Mexico,0.013775059041742865,80.0,51.0,2
Switzerland,0.012312474702126866,110.0,51.0,2
Uruguay,0.009703544627471493,130.0,67.0,2
Croatia,0.008156766654516897,150.0,81.0,2
Sweden,0.007978006346341606,160.0,81.0,2
Senegal,0.007822975862720573,120.0,101.0,2
Australia,0.0069291743218441275,160.0,101.0,2
Austria,0.005897864851602075,260.0,101.0,2
Ecuador,0.00522469421686717,180.0,151.0,2
Türkiye,0.004986347139300118,200.0,151.0,2
Ivory Coast,0.004986347139300118,200.0,151.0,2
Canada,0.004533970723643924,380.0,126.0,2
Scotland,0.003862710916484015,420.0,151.0,2
South Korea,0.003139344376241731,300.0,251.0,2
Egypt,0.002959499017092617,520.0,201.0,2
Bosnia & Herzegovina,0.0021755931495575634,920.0,251.0,2
Algeria,0.0020753688451398715,660.0,301.0,2
Czechia,0.0018543561004867866,1000.0,301.0,2
Ghana,0.001739189982123501,830.0,351.0,2
Paraguay,0.0016513174450927563,1000.0,351.0,2
Iran,0.0012853615452508213,1000.0,501.0,2
Saudi Arabia,0.0012853615452508213,1000.0,501.0,2
Tunisia,0.0012853615452508213,1000.0,501.0,2
DR Congo,0.001000296030726811,1000.0,751.0,2
Cape Verde,0.0008576208830979106,1001.0,1000.0,2
Panama,0.0008576208830979106,1001.0,1000.0,2
Iraq,0.0008576208830979106,1001.0,1000.0,2
Qatar,0.0008576208830979106,1001.0,1000.0,2
South Africa,0.0007148506820728551,1501.0,1000.0,2
New Zealand,0.0007148506820728551,1501.0,1000.0,2
Uzbekistan,0.0007148506820728551,1501.0,1000.0,2
Haiti,0.0006434299068474275,2001.0,1000.0,2
Jordan,0.0006434299068474275,2001.0,1000.0,2
Curaçao,0.0006434299068474275,2001.0,1000.0,2
