team,team_display,champion_probability,probability_pct,best_decimal_odds,worst_decimal_odds,bookmaker_count
France,🇫🇷 France,0.1774131673403186,17.74%,5.0,4.9,2
Spain,🇪🇸 Spain,0.132506922462978,13.25%,7.4,6.0,2
England,🏴󠁧󠁢󠁥󠁮󠁧󠁿 England,0.1237013807072648,12.37%,7.2,7.0,2
Argentina,🇦🇷 Argentina,0.0926889218820632,9.27%,10.0,9.0,2
Portugal,🇵🇹 Portugal,0.0724363185362216,7.24%,13.5,11.0,2
Brazil,🇧🇷 Brazil,0.0649137186355705,6.49%,15.5,12.0,2
Germany,🇩🇪 Germany,0.0558794457279424,5.59%,16.5,15.0,2
Netherlands,🇳🇱 Netherlands,0.037793921299511,3.78%,26.0,21.0,2
Morocco,🇲🇦 Morocco,0.0273356620795558,2.73%,36.0,29.0,2
USA,🇺🇸 USA,0.0273356620795558,2.73%,36.0,29.0,2
Norway,🇳🇴 Norway,0.0255933891118478,2.56%,42.0,29.0,2
Belgium,🇧🇪 Belgium,0.0194896603392579,1.95%,50.0,41.0,2
Colombia,🇨🇴 Colombia,0.0174632628568161,1.75%,65.0,41.0,2
Mexico,🇲🇽 Mexico,0.0165626417535086,1.66%,75.0,41.0,2
Japan,🇯🇵 Japan,0.0153635364681867,1.54%,65.0,51.0,2
Switzerland,🇨🇭 Switzerland,0.0090791780206114,0.91%,120.0,81.0,2
Uruguay,🇺🇾 Uruguay,0.0078595869432158,0.79%,180.0,81.0,2
Croatia,🇭🇷 Croatia,0.0077312089350689,0.77%,190.0,81.0,2
Sweden,🇸🇪 Sweden,0.0066578614522126,0.67%,190.0,101.0,2
Senegal,🇸🇳 Senegal,0.0064115645211652,0.64%,150.0,126.0,2
Austria,🇦🇹 Austria,0.0062559824701875,0.63%,230.0,101.0,2
Canada,🇨🇦 Canada,0.0060357218742699,0.60%,260.0,101.0,2
Ecuador,🇪🇨 Ecuador,0.0054802404256995,0.55%,220.0,126.0,2
Australia,🇦🇺 Australia,0.0053468165114958,0.53%,180.0,151.0,2
Ivory Coast,🇨🇮 Ivory Coast,0.0048165595213238,0.48%,230.0,151.0,2
Egypt,🇪🇬 Egypt,0.0028468462639285,0.28%,400.0,251.0,2
South Korea,🇰🇷 South Korea,0.0027945780748973,0.28%,420.0,251.0,2
Scotland,🏴󠁧󠁢󠁳󠁣󠁴󠁿 Scotland,0.0025194823431539,0.25%,570.0,251.0,2
Paraguay,🇵🇾 Paraguay,0.0021289682192074,0.21%,500.0,351.0,2
Ghana,🇬🇭 Ghana,0.0017996786283106,0.18%,800.0,351.0,2
Algeria,🇩🇿 Algeria,0.001689915431345,0.17%,1000.0,351.0,2
Czechia,🇨🇿 Czechia,0.0013154056578472,0.13%,1000.0,501.0,2
Bosnia & Herzegovina,🇧🇦 Bosnia & Herzegovina,0.0013154056578472,0.13%,1000.0,501.0,2
Tunisia,🇹🇳 Tunisia,0.0013154056578472,0.13%,1000.0,501.0,2
Iran,🇮🇷 Iran,0.0013154056578472,0.13%,1000.0,501.0,2
DR Congo,🇨🇩 DR Congo,0.0010236770060546,0.10%,1000.0,751.0,2
Saudi Arabia,🇸🇦 Saudi Arabia,0.0010236770060546,0.10%,1000.0,751.0,2
Cape Verde,🇨🇻 Cape Verde,0.0008776669615511,0.09%,1001.0,1000.0,2
South Africa,🇿🇦 South Africa,0.0008776669615511,0.09%,1001.0,1000.0,2
New Zealand,🇳🇿 New Zealand,0.0008776669615511,0.09%,1001.0,1000.0,2
Panama,🇵🇦 Panama,0.000731559641868,0.07%,1501.0,1000.0,2
Uzbekistan,🇺🇿 Uzbekistan,0.000731559641868,0.07%,1501.0,1000.0,2
Iraq,🇮🇶 Iraq,0.000731559641868,0.07%,1501.0,1000.0,2
Curaçao,🇨🇼 Curaçao,0.0006584694734508,0.07%,2001.0,1000.0,2
Jordan,🇯🇴 Jordan,0.0006584694734508,0.07%,2001.0,1000.0,2
Qatar,🇶🇦 Qatar,0.0006146036826494,0.06%,2501.0,1000.0,2
Türkiye,🇹🇷 Türkiye,0.0,0.00%,,,0
Haiti,🇭🇹 Haiti,0.0,0.00%,,,0
