team,round_of_32_probability,round_of_32_probability_pct,round_of_16_probability,round_of_16_probability_pct,quarter_final_probability,quarter_final_probability_pct,semi_final_probability,semi_final_probability_pct,final_probability,final_probability_pct,champion_probability,champion_probability_pct
France,0.99623,99.62%,0.83962,83.96%,0.6523,65.23%,0.42455,42.45%,0.29614,29.61%,0.18411,18.41%
Spain,1.0,100.00%,0.85229,85.23%,0.59106,59.11%,0.4209,42.09%,0.27078,27.08%,0.15544,15.54%
England,0.99651,99.65%,0.80842,80.84%,0.63231,63.23%,0.35191,35.19%,0.23116,23.12%,0.13365,13.36%
Argentina,0.99569,99.57%,0.78615,78.61%,0.54603,54.60%,0.37142,37.14%,0.21907,21.91%,0.11943,11.94%
Portugal,0.9354,93.54%,0.70621,70.62%,0.4616,46.16%,0.26302,26.30%,0.14554,14.55%,0.07238,7.24%
Brazil,1.0,100.00%,0.81372,81.37%,0.46472,46.47%,0.28258,28.26%,0.14662,14.66%,0.07031,7.03%
Germany,1.0,100.00%,0.79452,79.45%,0.48047,48.05%,0.31213,31.21%,0.13898,13.90%,0.06628,6.63%
Netherlands,1.0,100.00%,0.74333,74.33%,0.43239,43.24%,0.27082,27.08%,0.11663,11.66%,0.05436,5.44%
Morocco,0.99999,100.00%,0.78464,78.46%,0.45188,45.19%,0.20551,20.55%,0.08334,8.33%,0.03081,3.08%
USA,1.0,100.00%,0.54102,54.10%,0.37601,37.60%,0.16909,16.91%,0.06042,6.04%,0.02332,2.33%
Colombia,0.98964,98.96%,0.61573,61.57%,0.29891,29.89%,0.12645,12.65%,0.04667,4.67%,0.01602,1.60%
Norway,0.98742,98.74%,0.60879,60.88%,0.22615,22.61%,0.09625,9.62%,0.04285,4.29%,0.01584,1.58%
Japan,1.0,100.00%,0.48792,48.79%,0.26994,26.99%,0.1138,11.38%,0.0402,4.02%,0.0145,1.45%
Belgium,0.92756,92.76%,0.39607,39.61%,0.19294,19.29%,0.08097,8.10%,0.02945,2.94%,0.00998,1.00%
Mexico,1.0,100.00%,0.69042,69.04%,0.2259,22.59%,0.07256,7.26%,0.02909,2.91%,0.00968,0.97%
Switzerland,1.0,100.00%,0.66378,66.38%,0.26115,26.11%,0.08561,8.56%,0.02311,2.31%,0.00645,0.65%
Canada,1.0,100.00%,0.60531,60.53%,0.21643,21.64%,0.06101,6.10%,0.01546,1.55%,0.0037,0.37%
