qualifying_groups_key,appearances,probability
BCDFIJKL,679527,0.0679527
BCDFHIJL,554281,0.0554281
BCDFGIJL,284462,0.0284462
BCDFHJKL,280828,0.0280828
CDFHIJKL,264304,0.0264304
ABCDFIJL,263466,0.0263466
BCDFHIKL,193555,0.0193555
BCFHIJKL,187806,0.0187806
CDFGIJKL,160786,0.0160786
BDFHIJKL,157345,0.0157345
BCDFGJKL,155664,0.0155664
BCDEFIJL,154571,0.0154571
ABCDFJKL,130737,0.0130737
ACDFIJKL,125614,0.0125614
BCDFGHJL,113492,0.0113492
ABCDFHJL,104194,0.0104194
CDFGHIJL,102493,0.0102493
ABCDFHIL,95261,0.0095261
BCDFGHIL,93095,0.0093095
ABCFHIJL,90975,0.0090975
ACDFHIJL,90374,0.0090374
BCFGHIJL,89601,0.0089601
ABCDFIKL,83313,0.0083313
BCDFGIKL,80401,0.0080401
ABCFIJKL,80044,0.0080044
BCFGIJKL,78785,0.0078785
BCDEFJKL,77881,0.0077881
ABDFHIJL,77553,0.0077553
CDFGHJKL,76606,0.0076606
BDFGHIJL,76169,0.0076169
BCFGHIKL,71777,0.0071777
CDEFIJKL,69577,0.0069577
ABDFIJKL,67242,0.0067242
ABCFHIKL,66956,0.0066956
BDFGIJKL,65890,0.006589
BFGHIJKL,65830,0.006583
BCDEFHIL,64889,0.0064889
BCDEFHJL,64646,0.0064646
BCEFHIJL,62553,0.0062553
BDFGHIKL,61535,0.0061535
ABFHIJKL,60059,0.0060059
ABDFHIKL,58457,0.0058457
BCDEFIKL,57874,0.0057874
BCEFIJKL,55773,0.0055773
ACDFHJKL,54345,0.0054345
BDEFHIJL,53790,0.005379
ABCDFGJL,52847,0.0052847
CDEFHIJL,51446,0.0051446
BCEFHIKL,49919,0.0049919
ACDFGIJL,49721,0.0049721
BCFGHJKL,48458,0.0048458
BCDFGHKL,47156,0.0047156
ABCFHJKL,47046,0.0047046
BDEFIJKL,46801,0.0046801
ABCDFHKL,46729,0.0046729
BEFHIJKL,45160,0.004516
BCDHIJKL,44539,0.0044539
BDEFHIKL,42827,0.0042827
BDFGHJKL,40266,0.0040266
ABDFHJKL,40055,0.0040055
ABCDFGIL,39269,0.0039269
ABCFGIJL,37538,0.0037538
BCEFHJKL,35289,0.0035289
BCDEFHKL,34665,0.0034665
ABFGHIKL,33822,0.0033822
ABCFGHIL,33038,0.0033038
ACDFGJKL,32405,0.0032405
ABDFGIJL,32243,0.0032243
CDEFHJKL,31644,0.0031644
BCDEFGJL,30931,0.0030931
ABFGHIJL,29882,0.0029882
BDEFHJKL,29681,0.0029681
ABCDEFJL,29646,0.0029646
ABDFGHIL,28830,0.002883
ABCFGIKL,28550,0.002855
ABCDEFIL,28203,0.0028203
BCDEFGIL,27114,0.0027114
BEFGHIKL,27062,0.0027062
CDEFGIJL,26936,0.0026936
ABCEFIJL,26764,0.0026764
BCEFGIJL,26264,0.0026264
ABFGIJKL,26129,0.0026129
ACDFHIKL,25083,0.0025083
ABDFGIKL,24703,0.0024703
ACDEFIJL,24467,0.0024467
BCEFGHIL,24384,0.0024384
BCDFHIJK,24349,0.0024349
CDFGHIKL,24168,0.0024168
ACFHIJKL,23720,0.002372
CFGHIJKL,23227,0.0023227
ABCFGHKL,23186,0.0023186
ABEFHIKL,23083,0.0023083
ABCEFHIL,22934,0.0022934
ABDEFIJL,22780,0.002278
BEFGHIJL,22553,0.0022553
BDEFGIJL,22264,0.0022264
ABCFGHJL,21968,0.0021968
ABFGHJKL,21864,0.0021864
ABCDHIJL,21850,0.002185
BCDGHIJL,21824,0.0021824
ABCDFGHL,21570,0.002157
BCEFGIKL,21536,0.0021536
BDEFGHIL,20872,0.0020872
ABEFHIJL,20680,0.002068
BCGHIJKL,20488,0.0020488
ABCEFIKL,20309,0.0020309
ABCFGJKL,20263,0.0020263
ABCDFGKL,20114,0.0020114
ADFHIJKL,19912,0.0019912
ABDEFHIL,19881,0.0019881
ABDFGHKL,19789,0.0019789
BCDGHIKL,19746,0.0019746
ACDFGHJL,19468,0.0019468
DFGHIJKL,19449,0.0019449
BEFGIJKL,19266,0.0019266
BCDGIJKL,18963,0.0018963
BCEFGHKL,18883,0.0018883
ABCDIJKL,18873,0.0018873
BDEFGIKL,18592,0.0018592
ABCHIJKL,18563,0.0018563
ABDFGHJL,18479,0.0018479
ABEFIJKL,18429,0.0018429
ABCDHIKL,18053,0.0018053
ABDEFIKL,17902,0.0017902
BEFGHJKL,17869,0.0017869
CDEFGJKL,17862,0.0017862
ABCEFHKL,17361,0.0017361
BDGHIJKL,17358,0.0017358
ABDFGJKL,16939,0.0016939
CDEFHIKL,16799,0.0016799
ABEFHJKL,16563,0.0016563
ABDEFHKL,16370,0.001637
CEFHIJKL,16188,0.0016188
ABCDEFKL,16176,0.0016176
ABCEFJKL,16009,0.0016009
BCEFGHJL,15956,0.0015956
ABCEFHJL,15907,0.0015907
BDEFGHKL,15763,0.0015763
ABCDEFHL,15647,0.0015647
ABDHIJKL,15598,0.0015598
BCDEFGHL,15536,0.0015536
BCDEHIJL,15456,0.0015456
BCEFGJKL,15281,0.0015281
BCDEFGKL,14798,0.0014798
ABDEFJKL,14129,0.0014129
BCEHIJKL,14068,0.0014068
ACDEFJKL,13999,0.0013999
BCDEHIKL,13813,0.0013813
BDEFGHJL,13680,0.001368
BCDGHJKL,13562,0.0013562
BCDEIJKL,13538,0.0013538
DEFHIJKL,13436,0.0013436
ABDEFHJL,13237,0.0013237
BDEFGJKL,12765,0.0012765
ABCDHJKL,12703,0.0012703
ACDFGHIL,12042,0.0012042
BCDFGHIJ,11963,0.0011963
BDEHIJKL,11953,0.0011953
BCFGHIJK,11843,0.0011843
ABCDFHIJ,11719,0.0011719
ACFGHIJL,11513,0.0011513
BCDFGHIK,11231,0.0011231
ABCGHIKL,11165,0.0011165
