team,win_prob,best_decimal_odds,worst_decimal_odds,bookmaker_count
France,0.14973841418575362,5.9,5.5,2
Spain,0.14973841418575362,5.9,5.5,2
England,0.10623338833969813,9.4,7.0,2
Portugal,0.09677139882947676,9.8,8.0,2
Brazil,0.08137100665620559,11.0,10.0,2
Argentina,0.07814199845556251,12.0,10.0,2
Germany,0.05209466563704167,18.0,15.0,2
Netherlands,0.042729732579938486,21.0,19.0,2
Norway,0.02535328163056652,40.0,29.0,2
Belgium,0.02396340418768102,46.0,29.0,2
Colombia,0.016953201779886663,65.0,41.0,2
Morocco,0.015461251031314505,60.0,51.0,2
Mexico,0.015461251031314505,60.0,51.0,2
Japan,0.014446419882540968,70.0,51.0,2
Switzerland,0.01309331168417625,90.0,51.0,2
USA,0.01137608789072919,85.0,67.0,2
Uruguay,0.010623918921638213,100.0,67.0,2
Türkiye,0.009524378262933881,100.0,81.0,2
Ecuador,0.009524378262933881,100.0,81.0,2
Croatia,0.008306580884405635,140.0,81.0,2
Senegal,0.0074987751754766775,130.0,101.0,2
Sweden,0.006682851046367972,300.0,81.0,2
Austria,0.005859432550534806,260.0,101.0,2
Ivory Coast,0.004243472763812004,300.0,151.0,2
Scotland,0.0039746796487314445,370.0,151.0,2
Canada,0.003862292283540967,410.0,151.0,2
Paraguay,0.0034588719652079844,670.0,151.0,2
Bosnia & Herzegovina,0.002634071713971815,830.0,201.0,2
Czechia,0.0025177951470720765,520.0,251.0,2
Ghana,0.002230910187707249,800.0,251.0,2
South Korea,0.0022053565791176908,540.0,301.0,2
Algeria,0.002092597562587298,630.0,301.0,2
Egypt,0.0020717805133816866,650.0,301.0,2
Australia,0.002010091156523349,450.0,401.0,2
Iran,0.0012769857341513263,1000.0,501.0,2
South Africa,0.0012769857341513263,1000.0,501.0,2
Tunisia,0.0012769857341513263,1000.0,501.0,2
DR Congo,0.0009937777941824717,1000.0,751.0,2
Jamaica,0.0008524581649697728,1000.0,1000.0,1
Poland,0.0008524581649697728,1000.0,1000.0,1
Kosovo,0.0008524581649697728,1000.0,1000.0,1
Italy,0.0008524581649697728,1000.0,1000.0,1
Denmark,0.0008524581649697728,1000.0,1000.0,1
Bolivia,0.0008524581649697728,1000.0,1000.0,1
Qatar,0.0008520323616905671,1001.0,1000.0,2
Saudi Arabia,0.0008520323616905671,1001.0,1000.0,2
Panama,0.0008520323616905671,1001.0,1000.0,2
Iraq,0.0008520323616905671,1001.0,1000.0,2
Haiti,0.0008520323616905671,1001.0,1000.0,2
Cape Verde,0.0008520323616905671,1001.0,1000.0,2
New Zealand,0.0007101924951996675,1501.0,1000.0,2
Uzbekistan,0.0007101924951996675,1501.0,1000.0,2
Jordan,0.0006392371197087177,2001.0,1000.0,2
Curaçao,0.0006392371197087177,2001.0,1000.0,2
