team_1,team_2,team_1_win,simulated_team_1_win,draw,simulated_draw,team_2_win,simulated_team_2_win
🇲🇽 Mexico,🇿🇦 South Africa,0.6675202924174536,0.667572,0.2180407106330345,0.217767,0.1144389969495118,0.114661
🇨🇿 Czechia,🇰🇷 South Korea,0.3260521416951246,0.344027,0.3141474560636544,0.280215,0.359800402241221,0.375758
🇧🇦 Bosnia & Herzegovina,🇨🇦 Canada,0.2054653606778744,0.216773,0.2733951182553834,0.25571,0.5211395210667422,0.527517
🇵🇾 Paraguay,🇺🇸 USA,0.2257721313621083,0.23639,0.2824000943365291,0.265031,0.4918277743013626,0.498579
🇶🇦 Qatar,🇨🇭 Switzerland,0.0693223628510729,0.068808,0.1471125979711573,0.148021,0.7835650391777698,0.783171
🇧🇷 Brazil,🇲🇦 Morocco,0.5706719359605944,0.574173,0.2528918781341865,0.237627,0.176436185905219,0.1882
🇭🇹 Haiti,🏴󠁧󠁢󠁳󠁣󠁴󠁿 Scotland,0.1622670805838595,0.16776,0.2285435820116028,0.220721,0.6091893374045376,0.611519
🇦🇺 Australia,🇹🇷 Türkiye,0.1824156716722405,0.193382,0.2562896534730484,0.240135,0.5612946748547111,0.566483
🇨🇼 Curaçao,🇩🇪 Germany,0.0260149453569449,0.022248,0.0575899742275841,0.060836,0.9163950804154708,0.916916
🇯🇵 Japan,🇳🇱 Netherlands,0.2611009257229394,0.272104,0.2708911415456944,0.253488,0.4680079327313661,0.474408
🇪🇨 Ecuador,🇨🇮 Ivory Coast,0.3946820907165954,0.41303,0.3370204656526046,0.295319,0.2682974436307999,0.291651
🇸🇪 Sweden,🇹🇳 Tunisia,0.4980095864727751,0.50254,0.280189204992019,0.265478,0.2218012085352058,0.231982
🇨🇻 Cape Verde,🇪🇸 Spain,0.0390656515346131,0.036061,0.0883738183280067,0.090968,0.8725605301373802,0.872971
🇧🇪 Belgium,🇪🇬 Egypt,0.5761030396789393,0.580137,0.2475734319510393,0.235203,0.1763235283700214,0.18466
🇸🇦 Saudi Arabia,🇺🇾 Uruguay,0.1216837243390204,0.128839,0.2153350221156483,0.20708,0.6629812535453312,0.664081
🇮🇷 Iran,🇳🇿 New Zealand,0.5169642269351471,0.52172,0.2736653939634245,0.260729,0.2093703791014284,0.217551
🇫🇷 France,🇸🇳 Senegal,0.6510666703213182,0.652678,0.2176077905456182,0.209655,0.1313255391330635,0.137667
🇮🇶 Iraq,🇳🇴 Norway,0.0692195813235844,0.066713,0.1389204955640111,0.141296,0.7918599231124045,0.791991
🇩🇿 Algeria,🇦🇷 Argentina,0.1068606192026473,0.115822,0.2067075949073669,0.197107,0.6864317858899857,0.687071
🇦🇹 Austria,🇯🇴 Jordan,0.7218962447642459,0.721726,0.1760004854247902,0.172557,0.1021032698109639,0.105717
🇨🇩 DR Congo,🇵🇹 Portugal,0.0881213465587004,0.09144,0.1724249651731493,0.168265,0.7394536882681503,0.740295
🇭🇷 Croatia,🏴󠁧󠁢󠁥󠁮󠁧󠁿 England,0.1941770824559746,0.201831,0.2554870576970101,0.245376,0.5503358598470153,0.552793
🇬🇭 Ghana,🇵🇦 Panama,0.4462041397393009,0.451036,0.2813730355887218,0.271217,0.2724228246719773,0.277747
🇨🇴 Colombia,🇺🇿 Uzbekistan,0.6831826286922301,0.683712,0.2052258094164058,0.201186,0.111591561891364,0.115102
🇨🇿 Czechia,🇿🇦 South Africa,0.480529677283497,0.486229,0.2864358318936244,0.268301,0.2330344908228785,0.24547
🇧🇦 Bosnia & Herzegovina,🇨🇭 Switzerland,0.165118257975788,0.171283,0.2407079725866696,0.232493,0.5941737694375422,0.596224
🇨🇦 Canada,🇶🇦 Qatar,0.7277448371556186,0.72831,0.1839915443555157,0.181312,0.0882636184888657,0.090378
🇲🇽 Mexico,🇰🇷 South Korea,0.5249865575677853,0.529382,0.2697263811104312,0.2576,0.2052870613217835,0.213018
🇦🇺 Australia,🇺🇸 USA,0.2082152468518936,0.210581,0.2518957396324816,0.249324,0.5398890135156248,0.540095
🇲🇦 Morocco,🏴󠁧󠁢󠁳󠁣󠁴󠁿 Scotland,0.4798002372080449,0.485434,0.2877882772926077,0.270829,0.2324114854993473,0.243737
🇧🇷 Brazil,🇭🇹 Haiti,0.8842829799872892,0.883835,0.0803862524954406,0.082702,0.0353307675172702,0.033463
🇵🇾 Paraguay,🇹🇷 Türkiye,0.2798430889583136,0.290886,0.2979596917752823,0.278053,0.4221972192664041,0.431061
🇳🇱 Netherlands,🇸🇪 Sweden,0.5746745075579929,0.575911,0.2407865409414576,0.233155,0.1845389515005494,0.190934
🇩🇪 Germany,🇨🇮 Ivory Coast,0.6115161942562863,0.61283,0.2231533597232579,0.218041,0.1653304460204558,0.169129
🇨🇼 Curaçao,🇪🇨 Ecuador,0.0666321795253168,0.065042,0.1445471116059566,0.145776,0.7888207088687265,0.789182
🇯🇵 Japan,🇹🇳 Tunisia,0.547592514500157,0.552876,0.2680855288450091,0.252816,0.1843219566548339,0.194308
🇸🇦 Saudi Arabia,🇪🇸 Spain,0.0412920729416693,0.037693,0.1012608069228118,0.104895,0.8574471201355188,0.857412
🇧🇪 Belgium,🇮🇷 Iran,0.6748726261270035,0.674749,0.2066104937635835,0.202279,0.1185168801094129,0.122972
🇨🇻 Cape Verde,🇺🇾 Uruguay,0.1292666764571279,0.133751,0.2154301601498488,0.210351,0.6553031633930232,0.655898
🇪🇬 Egypt,🇳🇿 New Zealand,0.5423779801635549,0.544527,0.2633712243976411,0.253442,0.1942507954388041,0.202031
🇦🇷 Argentina,🇦🇹 Austria,0.5698214972302156,0.574812,0.2516067308809668,0.235532,0.1785717718888176,0.189656
🇫🇷 France,🇮🇶 Iraq,0.8468568001858987,0.847103,0.1109086921776112,0.109874,0.04223450763649,0.043023
🇳🇴 Norway,🇸🇳 Senegal,0.4397635268894304,0.447846,0.2770315907010868,0.259393,0.2832048824094827,0.292761
🇩🇿 Algeria,🇯🇴 Jordan,0.6205025695025113,0.622957,0.2298019426812853,0.220154,0.1496954878162034,0.156889
🇵🇹 Portugal,🇺🇿 Uzbekistan,0.7568934681552908,0.75714,0.1586408438122106,0.154328,0.0844656880324985,0.088532
🏴󠁧󠁢󠁥󠁮󠁧󠁿 England,🇬🇭 Ghana,0.7153473622388455,0.71616,0.1830396507665165,0.178409,0.1016129869946379,0.105431
🇭🇷 Croatia,🇵🇦 Panama,0.6098332408675925,0.613951,0.2440658953769733,0.22662,0.146100863755434,0.159429
🇨🇴 Colombia,🇨🇩 DR Congo,0.6370024278700289,0.638974,0.2328636279786039,0.223763,0.1301339441513672,0.137263
🇧🇦 Bosnia & Herzegovina,🇶🇦 Qatar,0.5832003134904657,0.586771,0.2515577024462093,0.237853,0.1652419840633249,0.175376
🇨🇦 Canada,🇨🇭 Switzerland,0.2694819851776242,0.281901,0.2878617817540151,0.266024,0.4426562330683606,0.452075
🇧🇷 Brazil,🏴󠁧󠁢󠁳󠁣󠁴󠁿 Scotland,0.6516188657548848,0.653337,0.2127097203726508,0.206499,0.1356714138724644,0.140164
🇭🇹 Haiti,🇲🇦 Morocco,0.0983855363851976,0.10537,0.1877257143709591,0.180474,0.7138887492438432,0.714156
🇨🇿 Czechia,🇲🇽 Mexico,0.2092549131907936,0.221549,0.271587827941101,0.254508,0.5191572588681054,0.523943
🇿🇦 South Africa,🇰🇷 South Korea,0.2367059346055668,0.247258,0.2797419177165309,0.263175,0.4835521476779022,0.489567
🇪🇨 Ecuador,🇩🇪 Germany,0.1965157966750675,0.208027,0.2531907106621199,0.236629,0.5502934926628126,0.555344
🇨🇼 Curaçao,🇨🇮 Ivory Coast,0.070161646851715,0.073527,0.156805878003202,0.153523,0.773032475145083,0.77295
🇯🇵 Japan,🇸🇪 Sweden,0.4552080394205061,0.460578,0.2789778523385953,0.265639,0.2658141082408985,0.273783
🇳🇱 Netherlands,🇹🇳 Tunisia,0.627716886306177,0.630539,0.2254662286887159,0.215275,0.1468168850051071,0.154186
🇹🇷 Türkiye,🇺🇸 USA,0.35217282610121,0.361751,0.2746460201108011,0.257618,0.3731811537879889,0.380631
🇦🇺 Australia,🇵🇾 Paraguay,0.2724041943900792,0.283802,0.2931215402958159,0.274818,0.4344742653141049,0.44138
🇫🇷 France,🇳🇴 Norway,0.5160737630529345,0.52272,0.2637226392878519,0.246981,0.2202035976592135,0.230299
🇮🇶 Iraq,🇸🇳 Senegal,0.1230572253684558,0.129636,0.2161223163315723,0.207578,0.6608204582999718,0.662786
🇨🇻 Cape Verde,🇸🇦 Saudi Arabia,0.367625349981924,0.375805,0.2879071129661744,0.273162,0.3444675370519016,0.351033
🇪🇸 Spain,🇺🇾 Uruguay,0.5737142027653511,0.57895,0.2469688158875453,0.23076,0.1793169813471036,0.19029
🇪🇬 Egypt,🇮🇷 Iran,0.4227794125347834,0.429381,0.3089245916289491,0.290521,0.2682959958362673,0.280098
🇧🇪 Belgium,🇳🇿 New Zealand,0.7336226379789562,0.733565,0.1713181759022711,0.170332,0.0950591861187726,0.096103
🏴󠁧󠁢󠁥󠁮󠁧󠁿 England,🇵🇦 Panama,0.7378930709620763,0.738154,0.1684821306600402,0.165013,0.0936247983778834,0.096833
🇭🇷 Croatia,🇬🇭 Ghana,0.5726949315796522,0.575825,0.2532909507264737,0.241969,0.174014117693874,0.182206
🇨🇩 DR Congo,🇺🇿 Uzbekistan,0.402612153532617,0.410117,0.2939097965833276,0.276576,0.3034780498840553,0.313307
🇨🇴 Colombia,🇵🇹 Portugal,0.2697041816554018,0.282365,0.2862091968175791,0.265442,0.444086621527019,0.452193
🇩🇿 Algeria,🇦🇹 Austria,0.269855788098342,0.285447,0.2938037627441291,0.269284,0.4363404491575287,0.445269
🇦🇷 Argentina,🇯🇴 Jordan,0.7916019089317669,0.791701,0.1413533866055286,0.139139,0.0670447044627044,0.06916
