team,worst_probability,expected_points,expected_goals_for,expected_goals_against,expected_goal_difference
Curaçao,0.2587072833333364,0.842586,1.652014,8.476117,-6.824103
Iraq,0.13556328333333223,1.176864,1.795627,7.228203,-5.432575999999999
Haiti,0.12434828333333217,1.403676,2.114258,7.337103,-5.2228449999999995
Jordan,0.09026566666666633,1.527148,2.177123,6.707011,-4.529888
Qatar,0.06812475000000039,1.570872,1.956966,6.218291,-4.261324999999999
Cape Verde,0.044762833333333425,2.211332,2.493755,6.208375,-3.71462
Saudi Arabia,0.043538033333333434,2.137832,2.36748,6.010507,-3.6430269999999996
Uzbekistan,0.03657733333333329,2.182913,2.463132,5.719227,-3.256095
Panama,0.03250333333333321,2.264877,2.525971,5.530556,-3.0045849999999996
New Zealand,0.02959278333333322,2.231558,2.401191,5.346296,-2.945105
DR Congo,0.020071416666666654,2.585064,2.625315,5.14366,-2.5183449999999996
Tunisia,0.019712333333333325,2.474997,2.529468,4.933156,-2.4036880000000003
South Africa,0.015850583333333383,2.57141,2.487038,4.70891,-2.2218720000000003
Ghana,0.014017916666666692,2.907614,2.907395,4.895162,-1.9877669999999998
Australia,0.013769833333333356,2.827572,2.800059,4.649231,-1.8491720000000003
Scotland,0.005544416666666664,3.684309,3.572927,4.253708,-0.6807809999999996
Iran,0.004975333333333332,3.527899,3.145122,4.082351,-0.9372289999999999
Bosnia & Herzegovina,0.004854583333333335,3.650537,3.41675,4.113824,-0.6970740000000002
Sweden,0.004817333333333333,3.666043,3.404205,4.09295,-0.6887449999999999
Algeria,0.004691750000000001,3.759223,3.583428,4.198188,-0.61476
Paraguay,0.003975333333333338,3.72387,3.28534,3.793552,-0.5082119999999999
Senegal,0.003942250000000001,3.956268,3.832066,4.123731,-0.29166500000000006
Czechia,0.003014583333333335,3.958439,3.489262,3.702244,-0.21298199999999978
South Korea,0.0027591666666666676,4.036019,3.547376,3.637843,-0.0904670000000003
Egypt,0.0019157499999999995,4.25487,3.669314,3.519933,0.14938099999999999
Ivory Coast,0.0018239999999999994,4.368073,4.189187,3.662754,0.5264330000000004
Japan,0.0013356666666666666,4.628617,4.109929,3.400764,0.709165
Austria,0.001229416666666667,4.747326,4.562046,3.534381,1.0276649999999994
Türkiye,0.0011041666666666667,4.853691,4.334797,3.275234,1.0595629999999998
Morocco,0.0010143333333333337,4.8523,4.475376,3.340487,1.1348889999999998
Croatia,0.0008728333333333335,4.888786,4.35623,3.255907,1.100323
USA,0.0008630000000000002,5.029888,4.45009,3.152269,1.2978210000000003
Ecuador,0.0007859166666666668,4.908441,4.561104,3.221101,1.3400030000000003
Norway,0.0007485833333333334,5.058078,4.975376,3.357919,1.617457
Uruguay,0.000617,5.178998,4.78231,3.225512,1.5567979999999997
Canada,0.0004038333333333333,5.31623,4.711496,2.894753,1.8167430000000002
Netherlands,0.00036483333333333333,5.744492,5.21211,2.828842,2.383268
Colombia,0.0003143333333333333,5.505544,4.821946,2.770437,2.051509
Mexico,0.00013133333333333332,5.892566,4.90801,2.382689,2.525321
Switzerland,0.00012083333333333333,6.140948,5.586306,2.44465,3.1416560000000002
Portugal,7.95e-05,6.436919,6.167119,2.444188,3.7229309999999995
England,6.866666666666665e-05,6.610119,6.216425,2.324396,3.892029
France,5.575e-05,6.634013,6.340542,2.233758,4.106784
Belgium,5.4e-05,6.573167,5.986712,2.253759,3.7329529999999997
Germany,4.5e-05,6.770776,7.335736,2.378069,4.957667
Argentina,4.133333333333333e-05,6.73253,6.305012,2.188029,4.116982999999999
Brazil,2.5e-05,6.860863,6.97625,2.207513,4.768737
Spain,4.5e-06,7.354622,7.687619,1.88677,5.8008489999999995
