match_id,round,home_source,away_source,winner_to
73,R32,2A,2B,89
74,R32,1C,2F,89
75,R32,1E,3A|3B|3C|3D|3F,90
76,R32,1F,2C,90
77,R32,2E,2I,91
78,R32,1I,3C|3D|3F|3G|3H,91
79,R32,1A,3C|3E|3F|3H|3I,92
80,R32,1L,3E|3H|3I|3J|3K,92
81,R32,1G,3A|3E|3H|3I|3J,93
82,R32,1D,3B|3E|3F|3I|3J,93
83,R32,1H,2J,94
84,R32,2K,2L,94
85,R32,1B,3E|3F|3G|3I|3J,95
86,R32,2D,2G,95
87,R32,1J,2H,96
88,R32,1K,3D|3E|3I|3J|3L,96
89,R16,W73,W74,97
90,R16,W75,W76,97
91,R16,W77,W78,98
92,R16,W79,W80,98
93,R16,W81,W82,99
94,R16,W83,W84,99
95,R16,W85,W86,100
96,R16,W87,W88,100
97,QF,W89,W90,101
98,QF,W91,W92,101
99,QF,W93,W94,102
100,QF,W95,W96,102
101,SF,W97,W98,103
102,SF,W99,W100,103
103,F,W101,W102,
