qualifying_groups_key,option_number,match_75,match_78,match_79,match_80,match_81,match_82,match_85,match_88
EFGHIJKL,1,3F,3G,3E,3K,3H,3I,3J,3L
DFGHIJKL,2,3D,3F,3H,3K,3J,3I,3G,3L
DEGHIJKL,3,3D,3G,3E,3K,3H,3I,3J,3L
DEFHIJKL,4,3D,3F,3E,3K,3H,3I,3J,3L
DEFGIJKL,5,3D,3F,3E,3K,3J,3I,3G,3L
DEFGHJKL,6,3D,3F,3E,3K,3H,3J,3G,3L
DEFGHIKL,7,3D,3F,3E,3K,3H,3I,3G,3L
DEFGHIJL,8,3D,3F,3E,3I,3H,3J,3G,3L
DEFGHIJK,9,3D,3F,3E,3K,3H,3J,3G,3I
CFGHIJKL,10,3C,3F,3H,3K,3J,3I,3G,3L
CEGHIJKL,11,3C,3G,3E,3K,3H,3I,3J,3L
CEFHIJKL,12,3C,3F,3E,3K,3H,3I,3J,3L
CEFGIJKL,13,3C,3F,3E,3K,3J,3I,3G,3L
CEFGHJKL,14,3C,3F,3E,3K,3H,3J,3G,3L
CEFGHIKL,15,3C,3F,3E,3K,3H,3I,3G,3L
CEFGHIJL,16,3C,3F,3E,3I,3H,3J,3G,3L
CEFGHIJK,17,3C,3F,3E,3K,3H,3J,3G,3I
CDGHIJKL,18,3C,3D,3H,3K,3J,3I,3G,3L
CDFHIJKL,19,3D,3F,3C,3K,3H,3I,3J,3L
CDFGIJKL,20,3D,3F,3C,3K,3J,3I,3G,3L
CDFGHJKL,21,3D,3F,3C,3K,3H,3J,3G,3L
CDFGHIKL,22,3D,3F,3C,3K,3H,3I,3G,3L
CDFGHIJL,23,3D,3F,3C,3I,3H,3J,3G,3L
CDFGHIJK,24,3D,3F,3C,3K,3H,3J,3G,3I
CDEHIJKL,25,3C,3D,3E,3K,3H,3I,3J,3L
CDEGIJKL,26,3C,3D,3E,3K,3J,3I,3G,3L
CDEGHJKL,27,3C,3D,3E,3K,3H,3J,3G,3L
CDEGHIKL,28,3C,3D,3E,3K,3H,3I,3G,3L
CDEGHIJL,29,3C,3D,3E,3I,3H,3J,3G,3L
CDEGHIJK,30,3C,3D,3E,3K,3H,3J,3G,3I
CDEFIJKL,31,3D,3F,3C,3K,3I,3E,3J,3L
CDEFHJKL,32,3D,3F,3C,3K,3H,3E,3J,3L
CDEFHIKL,33,3D,3F,3C,3K,3H,3I,3E,3L
CDEFHIJL,34,3D,3F,3C,3I,3H,3E,3J,3L
CDEFHIJK,35,3D,3F,3C,3K,3H,3E,3J,3I
CDEFGJKL,36,3D,3F,3C,3K,3J,3E,3G,3L
CDEFGIKL,37,3D,3F,3C,3K,3I,3E,3G,3L
CDEFGIJL,38,3D,3F,3C,3I,3J,3E,3G,3L
CDEFGIJK,39,3D,3F,3C,3K,3J,3E,3G,3I
CDEFGHKL,40,3D,3F,3C,3K,3H,3E,3G,3L
CDEFGHJL,41,3D,3F,3C,3E,3H,3J,3G,3L
CDEFGHJK,42,3D,3F,3C,3K,3H,3J,3G,3E
CDEFGHIL,43,3D,3F,3C,3I,3H,3E,3G,3L
CDEFGHIK,44,3D,3F,3C,3K,3H,3E,3G,3I
CDEFGHIJ,45,3D,3F,3C,3I,3H,3J,3G,3E
BFGHIJKL,46,3F,3G,3H,3K,3I,3B,3J,3L
BEGHIJKL,47,3B,3G,3E,3K,3H,3I,3J,3L
BEFHIJKL,48,3F,3H,3E,3K,3I,3B,3J,3L
BEFGIJKL,49,3F,3G,3E,3K,3I,3B,3J,3L
BEFGHJKL,50,3F,3G,3E,3K,3H,3B,3J,3L
BEFGHIKL,51,3F,3H,3E,3K,3I,3B,3G,3L
BEFGHIJL,52,3F,3G,3E,3I,3H,3B,3J,3L
BEFGHIJK,53,3F,3G,3E,3K,3H,3B,3J,3I
BDGHIJKL,54,3D,3G,3H,3K,3I,3B,3J,3L
BDFHIJKL,55,3D,3F,3H,3K,3I,3B,3J,3L
BDFGIJKL,56,3D,3F,3I,3K,3J,3B,3G,3L
BDFGHJKL,57,3D,3F,3H,3K,3J,3B,3G,3L
BDFGHIKL,58,3D,3F,3H,3K,3I,3B,3G,3L
BDFGHIJL,59,3D,3F,3H,3I,3J,3B,3G,3L
BDFGHIJK,60,3D,3F,3H,3K,3J,3B,3G,3I
BDEHIJKL,61,3D,3H,3E,3K,3I,3B,3J,3L
BDEGIJKL,62,3D,3G,3E,3K,3I,3B,3J,3L
BDEGHJKL,63,3D,3G,3E,3K,3H,3B,3J,3L
BDEGHIKL,64,3D,3H,3E,3K,3I,3B,3G,3L
BDEGHIJL,65,3D,3G,3E,3I,3H,3B,3J,3L
BDEGHIJK,66,3D,3G,3E,3K,3H,3B,3J,3I
BDEFIJKL,67,3D,3F,3E,3K,3I,3B,3J,3L
BDEFHJKL,68,3D,3F,3E,3K,3H,3B,3J,3L
BDEFHIKL,69,3D,3F,3E,3K,3H,3B,3I,3L
BDEFHIJL,70,3D,3F,3E,3I,3H,3B,3J,3L
BDEFHIJK,71,3D,3F,3E,3K,3H,3B,3J,3I
BDEFGJKL,72,3D,3F,3E,3K,3J,3B,3G,3L
BDEFGIKL,73,3D,3F,3E,3K,3I,3B,3G,3L
BDEFGIJL,74,3D,3F,3E,3I,3J,3B,3G,3L
BDEFGIJK,75,3D,3F,3E,3K,3J,3B,3G,3I
BDEFGHKL,76,3D,3F,3E,3K,3H,3B,3G,3L
BDEFGHJL,77,3D,3F,3H,3E,3J,3B,3G,3L
BDEFGHJK,78,3D,3F,3H,3K,3J,3B,3G,3E
BDEFGHIL,79,3D,3F,3E,3I,3H,3B,3G,3L
BDEFGHIK,80,3D,3F,3E,3K,3H,3B,3G,3I
BDEFGHIJ,81,3D,3F,3H,3I,3J,3B,3G,3E
BCGHIJKL,82,3C,3G,3H,3K,3I,3B,3J,3L
BCFHIJKL,83,3C,3F,3H,3K,3I,3B,3J,3L
BCFGIJKL,84,3C,3F,3I,3K,3J,3B,3G,3L
BCFGHJKL,85,3C,3F,3H,3K,3J,3B,3G,3L
BCFGHIKL,86,3C,3F,3H,3K,3I,3B,3G,3L
BCFGHIJL,87,3C,3F,3H,3I,3J,3B,3G,3L
BCFGHIJK,88,3C,3F,3H,3K,3J,3B,3G,3I
BCEHIJKL,89,3C,3H,3E,3K,3I,3B,3J,3L
BCEGIJKL,90,3C,3G,3E,3K,3I,3B,3J,3L
BCEGHJKL,91,3C,3G,3E,3K,3H,3B,3J,3L
BCEGHIKL,92,3C,3H,3E,3K,3I,3B,3G,3L
BCEGHIJL,93,3C,3G,3E,3I,3H,3B,3J,3L
BCEGHIJK,94,3C,3G,3E,3K,3H,3B,3J,3I
BCEFIJKL,95,3C,3F,3E,3K,3I,3B,3J,3L
BCEFHJKL,96,3C,3F,3E,3K,3H,3B,3J,3L
BCEFHIKL,97,3C,3F,3E,3K,3H,3B,3I,3L
BCEFHIJL,98,3C,3F,3E,3I,3H,3B,3J,3L
BCEFHIJK,99,3C,3F,3E,3K,3H,3B,3J,3I
BCEFGJKL,100,3C,3F,3E,3K,3J,3B,3G,3L
BCEFGIKL,101,3C,3F,3E,3K,3I,3B,3G,3L
BCEFGIJL,102,3C,3F,3E,3I,3J,3B,3G,3L
BCEFGIJK,103,3C,3F,3E,3K,3J,3B,3G,3I
BCEFGHKL,104,3C,3F,3E,3K,3H,3B,3G,3L
BCEFGHJL,105,3C,3F,3H,3E,3J,3B,3G,3L
BCEFGHJK,106,3C,3F,3H,3K,3J,3B,3G,3E
BCEFGHIL,107,3C,3F,3E,3I,3H,3B,3G,3L
BCEFGHIK,108,3C,3F,3E,3K,3H,3B,3G,3I
BCEFGHIJ,109,3C,3F,3H,3I,3J,3B,3G,3E
BCDHIJKL,110,3C,3D,3H,3K,3I,3B,3J,3L
BCDGIJKL,111,3C,3D,3I,3K,3J,3B,3G,3L
BCDGHJKL,112,3C,3D,3H,3K,3J,3B,3G,3L
BCDGHIKL,113,3C,3D,3H,3K,3I,3B,3G,3L
BCDGHIJL,114,3C,3D,3H,3I,3J,3B,3G,3L
BCDGHIJK,115,3C,3D,3H,3K,3J,3B,3G,3I
BCDFIJKL,116,3D,3F,3C,3K,3I,3B,3J,3L
BCDFHJKL,117,3D,3F,3C,3K,3H,3B,3J,3L
BCDFHIKL,118,3D,3F,3C,3K,3H,3B,3I,3L
BCDFHIJL,119,3D,3F,3C,3I,3H,3B,3J,3L
BCDFHIJK,120,3D,3F,3C,3K,3H,3B,3J,3I
BCDFGJKL,121,3D,3F,3C,3K,3J,3B,3G,3L
BCDFGIKL,122,3D,3F,3C,3K,3I,3B,3G,3L
BCDFGIJL,123,3D,3F,3C,3I,3J,3B,3G,3L
BCDFGIJK,124,3D,3F,3C,3K,3J,3B,3G,3I
BCDFGHKL,125,3D,3F,3C,3K,3H,3B,3G,3L
BCDFGHJL,126,3D,3F,3C,3J,3H,3B,3G,3L
BCDFGHJK,127,3C,3F,3H,3K,3J,3B,3G,3D
BCDFGHIL,128,3D,3F,3C,3I,3H,3B,3G,3L
BCDFGHIK,129,3D,3F,3C,3K,3H,3B,3G,3I
BCDFGHIJ,130,3C,3F,3H,3I,3J,3B,3G,3D
BCDEIJKL,131,3C,3D,3E,3K,3I,3B,3J,3L
BCDEHJKL,132,3C,3D,3E,3K,3H,3B,3J,3L
BCDEHIKL,133,3C,3D,3E,3K,3H,3B,3I,3L
BCDEHIJL,134,3C,3D,3E,3I,3H,3B,3J,3L
BCDEHIJK,135,3C,3D,3E,3K,3H,3B,3J,3I
BCDEGJKL,136,3C,3D,3E,3K,3J,3B,3G,3L
BCDEGIKL,137,3C,3D,3E,3K,3I,3B,3G,3L
BCDEGIJL,138,3C,3D,3E,3I,3J,3B,3G,3L
BCDEGIJK,139,3C,3D,3E,3K,3J,3B,3G,3I
BCDEGHKL,140,3C,3D,3E,3K,3H,3B,3G,3L
BCDEGHJL,141,3C,3D,3H,3E,3J,3B,3G,3L
BCDEGHJK,142,3C,3D,3H,3K,3J,3B,3G,3E
BCDEGHIL,143,3C,3D,3E,3I,3H,3B,3G,3L
BCDEGHIK,144,3C,3D,3E,3K,3H,3B,3G,3I
BCDEGHIJ,145,3C,3D,3H,3I,3J,3B,3G,3E
BCDEFJKL,146,3D,3F,3C,3K,3E,3B,3J,3L
BCDEFIKL,147,3D,3F,3C,3K,3I,3B,3E,3L
BCDEFIJL,148,3D,3F,3C,3I,3E,3B,3J,3L
BCDEFIJK,149,3D,3F,3C,3K,3E,3B,3J,3I
BCDEFHKL,150,3D,3F,3C,3K,3H,3B,3E,3L
BCDEFHJL,151,3D,3F,3C,3E,3H,3B,3J,3L
BCDEFHJK,152,3D,3F,3C,3K,3H,3B,3J,3E
BCDEFHIL,153,3D,3F,3C,3I,3H,3B,3E,3L
